!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
就要	z iou iau
就要    d eh bh eh
就讀	z iou d u
尷	g an
尸	sh ii
尹	in
尺	ch ii
尺    c iorh
尺寸	ch ii c un
尻	k au
尼	n i
尾	uei
尾    bh ue
尿	n iau
局	z yu
屁	p i
屁股	p i g u
屁股    k a c ng
屄	b i
居	z yu
居住	z yu zh u
居家	z yu z ia
居民	z yu m in
居然	z yu rh an
居然    g ing r en
屆	z ie
屈	c yu
屋	u
屋頂    c u d ing
屌	d iau
屍	sh ii
屎	sh ii
屏	p ing
屏東	p ing d ong
屐	z i
屑	s ie
展	zh an
展    d en
展出	zh an ch u
展現	zh an s ien
展示	zh an sh ii
展覽	zh an l an
展開	zh an k ai
屜	t i
屠	t u
屢	l yu
屣	s i
層	c ng
層    z an
層次	c ng c ii
履	l yu
屬	sh u
屬    s iok
屬性	sh u s ing
屬於	sh u yu
屯	t un
山	sh an
山    s an
山    s uann
山丘    s uann l un
山海    s uann h ai
山路    s uann l o
山頂    s uann d ing
山頭    s uann t au
屹	i
屺	c i
岈	s ia
岌	z i
岐	c i
岑	c ern
岔	ch a
岡	g ang
岢	k er
岩	ien
岫	s iou
岬	z ia
岱	d ai
岳	yue
岷	m in
岸	an
峇	b a
峋	s yun
峒	d ong
峙	zh ii
峨	er
峪	yu
峭	c iau
峰	f ng
峴	s ien
島	d au
島嶼    d or s u
峻	z yun
峽	s ia
崁	k an
崆	k ong
崇	ch ong
崍	l ai
崎	c i
崑	k un
崔	c uei
崖	iai
崗	g ang
崗山仔    g ang s uann  a
崙	l un
崚	l ng
崛	z yue
崢	zh ng
崧	s ong
崩	b ng
崮	g u
崴	uei
崽	z ai
嵇	z i
嵊	sh ng
嵋	m ei
嵌	c ien
嵐	l an
嵩	s ong
嵬	uei
嵯	c uo
嶂	zh ang
嶄	zh an
嶇	c yu
嶗	l au
嶙	l in
嶝	d ng
嶠	z iau
嶷	i
嶷	n i
嶸	rh ong
嶺	l ing
嶼	yu
嶽	yu
巉	ch an
巋	k uei
巍	uei
巒	l uan
巔	d ien
巖	ien
川	ch uan
州	zh ou
巡	s yun
巡    s un
巢	ch au
巢    s iu
工	g ong
工    g ang
工人	g ong rh ern
工作	g ong z uo
工作    k ang k ue
工作    t au l o
工作    z orh s it
工作室	g ong z uo sh ii
工具	g ong z yu
工商	g ong sh ang
工商    g ang s iong
工廠	g ong ch ang
工廠    g ang c iunn
工會	g ong h uei
工業	g ong ie
工程	g ong ch ng
工程    g ang d ing
工程師	g ong ch ng sh ii
工藝	g ong i
左	z uo
左    d or
左右	z uo iou
左邊	z uo b ien
左邊    d or b ing
左鄰右舍    c u b inn t au bh ue
巧	c iau
巧    g uai
巧克力	c iau k er l i
巨	z yu
巨人    g i r in
巨大	z yu d a
巫	u
差	ch a
差	ch ai
差    c a
差不多	ch a b u d uo
差不多    c a b ut d or
差別	ch a b ie
差別    c a
差異	ch a i
己	z i
已	i
已     i
已經	i z ing
已經     i g ing
巳	s ii
巴	b a
巴士	b a sh ii
巴黎	b a l i
巷	s iang
巽	s yun
巾	z in
巿	f u
市	sh ii
市中心	sh ii zh ong s in
市區	sh ii c yu
市區    c i l ai
市場	sh ii ch ang
市場    c i d iunn
市民	sh ii m in
市議員    c i gh i  uan
市長	sh ii zh ang
布	b u
布    b o
布袋戲    b o d e h i
帆	f an
希	s i
希望	s i uang
希望     ng bh ang
希望    g i t ai
希望    h i bh ang
希望    s im gh uan
希臘	s i l a
帑	t ang
帕	p a
帖	t ie
帙	zh ii
帚	zh ou
帛	b uo
帝	d i
帝國	d i g uo
帥	sh uai
師	sh ii
師    s u
師傅	sh ii f u
師傅    s ai h u
師父	sh ii f u
師父    s u h u
席	s i
帳	zh ang
帳戶	zh ang h u
帳號	zh ang h au
帶	d ai
帶    c ua
帶    d ai
帶    d ua
帶    z ah
帶來	d ai l ai
帶有	d ai iou
帶給	d ai g ei
帶著	d ai zh er
帶領	d ai l ing
帷	uei
常	ch ang
常常	ch ang ch ang
常常    d iann d iann
常常    s i s iong
常用	ch ang iong
常見	ch ang z ien
帽	m au
帽子    bh or  a
幀	zh ng
幃	uei
幄	uo
幅	f u
幌	h uang
幔	m an
幕	m u
幗	g uo
幛	zh ang
幟	zh ii
幡	f an
幢	ch uang
幣	b i
幪	m ng
幫	b ang
幫助	b ang zh u
幫助    b ang z o
幫助    z o
幫忙	b ang m ang
幫忙    b ang bh ang
幫忙    d au k a c iu
幫忙    d au s ann g ang
干	g an
平	p ing
平    b enn
平原    b ing gh uan
平台	p ing t ai
平均	p ing z yun
平安	p ing an
平安    b ing  an
平常	p ing ch ang
平常    b ing s iong s i  a
平日	p ing rh ii
平時	p ing sh ii
平時    b ing s iong s i
平溪    b ing k e
平等	p ing d ng
平衡	p ing h ng
平靜	p ing z ing
平面	p ing m ien
年	n ien
年    n i
年代	n ien d ai
年代    n i d ai
年年    n i n i
年度	n ien d u
年紀	n ien z i
年紀    h ue
年紀    n i h ue
年級	n ien z i
年輕	n ien c ing
年輕    s iau l en
年齡	n ien l ing
年齡    n i h ue
幵	z ien
并	b ing
幸	s ing
幸福	s ing f u
幸福    h ing h ok
幸運	s ing yun
幹	g an
幻	h uan
幻想	h uan s iang
幼	iou
幼    s e
幼兒	iou err
幼鳥    z iau  a g iann
幽	iou
幽靈    m o s in  a
幾	z i
幾    g ui
幾乎	z i h u
庇	b i
床	ch uang
床    bh in c ng
床上	ch uang sh ang
序	s yu
底	d i
底    d e
底下	d i s ia
底下     e k a
庖	p au
店	d ien
店內    d iam l ai
店家	d ien z ia
店面	d ien m ien
庚	g ng
府	f u
庠	s iang
度	d u
度    d o
度假	d u z ia
度過	d u g uo
座	z uo
座    z or
座位	z uo uei
庫	k u
庭	t ing
庵	an
庶	sh u
康	k ang
庸	iong
庹	t uo
廁	c er
廁	c ii
廁所	c er s uo
廁所    b en s o
廂	s iang
廄	z iou
廈	s ia
廉	l ien
廊	l ang
廋	s ou
廓	k uo
廖	l iau
廚	ch u
廚師    z ong p o s ai
廚房	ch u f ang
廚房    z au k a
廛	ch an
廝	s ii
廟	m iau
廟    bh ior
廟祝    bh ior  ang
廠	ch ang
廠商	ch ang sh ang
廢	f ei
廣	g uang
廣告	g uang g au
廣告    g ong g or
廣場	g uang ch ang
廣場    d iann
廣大	g uang d a
廣州	g uang zh ou
廣播	g uang b uo
廣播    h ong s ang
廣東	g uang d ong
廣泛	g uang f an
廩	l in
廬	l u
廳	t ing
延	ien
延伸	ien sh ern
延續	ien s yu
延長	ien ch ang
廷	t ing
建	z ien
建立	z ien l i
建築	z ien zh u
建築    g en d iok
建築物	z ien zh u u
建設	z ien sh er
建議	z ien i
建造	z ien z au
建造    k i
弄	n ong
弄    c ong
弇	ien
弈	i
弊	b i
弋	i
式	sh ii
弒	sh ii
弓	g ong
弔	d iau
引	in
引     in
引導	in d au
引擎	in c ing
引用	in iong
引發	in f a
引發     in k i
引起	in c i
引起     in k i
引述	in sh u
引進	in z in
引進    g ai s iau
弗	f u
弘	h ong
弛	sh ii
弟	d i
弟兄	d i s iong
弟子	d i z ii
弟子    d e z u
弟子    h ak s ing
弟弟	d i d i
弢	t au
弦	s ien
弧	h u
弩	n u
弭	m i
弱	rh uo
弱勢	rh uo sh ii
張	zh ang
張    d iunn
強	c iang
強    g iong
強制	c iang zh ii
強力鎖    g iong l ik s or
強化	c iang h ua
強大	c iang d a
強烈	c iang l ie
強烈    l i h ai
強調	c iang d iau
弼	b i
彀	g ou
彆	b ie
彈	d an
彈    d uann
彈性	t an s ing
彊	c iang
彌	m i
彎	uan
彎     uat
彗	h uei
彙	h uei
彝	i
形	s ing
形    h ing
形容	s ing rh ong
形式	s ing sh ii
形影    h ing  iann
形成	s ing ch ng
形狀	s ing zh uang
形象	s ing s iang
彤	t ong
彥	ien
彩	c ai
彩色	c ai s er
彩色    c ai s ik
彪	b iau
彫	d iau
彬	b in
彭	p ng
彰	zh ang
彰化	zh ang h ua
彰化    z iong h ua
影	ing
影     iann
影像	ing s iang
影片	ing p ien
影音	ing in
影響	ing s iang
影響     ing h iong
彷	p ang
彷彿	f ang f u
彷彿    n a c in c iunn
役	i
彼	b i
彼此	b i c ii
彿	f u
往	uang
往     ong
往     ui
往事     ong s u
往往	uang uang
征	zh ng
徂	c u
待	d ai
徇	s yun
很	h ern
很     u g au
很    z iann
很    z in
很    z iok
很多	h ern d uo
很少	h ern sh au
徉	iang
徊	h uai
律	l yu
律師	l yu sh ii
後	h ou
後     au
後代     au d ai
後來	h ou l ai
後來    bh ue  a
後悔	h ou h uei
後悔    h ior h ue
後面	h ou m ien
後面     au b iah
徐	s yu
徑	z ing
徒	t u
徒弟    d o d e
得	d ei
得	d er
得    d iorh
得    d it
得    g ah
得    z it  e
得以	d er i
得以     e d it
得到	d er d au
得到    d it d iorh
得獎	d er z iang
得知	d er zh ii
徘	p ai
徙	s i
徜	ch ang
從	c ong
從     iu
從     ui
從    d ui
從    z iong
從事	c ong sh ii
從來	c ong l ai
從來    z iong l ai
從前	c ong c ien
從前    d ong n i
從前    g o z a
從前    g ue k i
從小	c ong s iau
從未	c ong uei
從此	c ong c ii
從而	c ong err
從而	z ong err
徠	l ai
御	yu
徨	h uang
復	f u
復興	f u s ing
循	s yun
循環	s yun h uan
徬	p ang
徭	iau
微	uei
微微    bh i bh i
微笑	uei s iau
微軟	uei rh uan
徵	zh ng
徵信	zh ng s in
德	d er
德國	d er g uo
徹	ch er
徹底	ch er d i
徼	z iau
徽	h uei
心	s in
心    s im
心    s im g uann
心中	s in zh ong
心中    s im g uann t au
心中    s im t au
心事    s im s u
心得	s in d er
心情	s in c ing
心情    s im z ing
心愛    s im  ai
心態	s in t ai
心理	s in l i
心臟	s in z ang
心裡	s in l i
心裡    s im g uann
心裡    s im g uann t au
心裡    s im l ai
心裡    s im t au
心靈	s in l ing
必	b i
必    b it
必然	b i rh an
必要	b i iau
必須	b i s yu
忉	d au
忌	z i
忍	rh ern
忍    r im
忍不住	rh ern b u zh u
忍耐    r im n ai
忐	t an
忑	t er
忒	t er
志	zh ii
志工	zh ii g ong
志氣    z i k i
忘	uang
忘記	uang z i
忘記    bh e g i d it
忙	m ang
忙碌	m ang l u
忙碌    bh or  ing
忝	t ien
忠	zh ong
忡	ch ong
忤	u
忪	s ong
忪	zh ong
快	k uai
快    g in
快    k uai
快樂	k uai l er
快樂    h uann h uann h i h i
快樂    k uai l ok
快樂    k uinn  uah
快速	k uai s u
忱	ch ern
念	n ien
忸	n iou
忽	h u
忽然	h u rh an
忽略	h u l yue
忿	f ern
怍	z uo
怎	z ern
怎    n a
怎樣	z ern iang
怎樣     an z uann
怎麼	z er m er
怎麼	z ern m er
怎麼     an z uann
怎麼    k ah
怎麼    s uah
怎麼    z uann  iunn
怎麼樣    s iann k uan
怏	iang
怒	n u
怔	l ng
怔	zh ng
怕	p a
怕    c uah
怕    g iann
怖	b u
怙	h u
怛	d a
思	s ii
思    s u
思念    s u l iam
思想	s ii s iang
思維	s ii uei
思考	s ii k au
怠	d ai
怡	i
急	z i
急    g ip
急    h iong
急救    g ip g iu
怦	p ng
性	s ing
性    s ing
性別	s ing b ie
性愛	s ing ai
性感	s ing g an
性格	s ing g er
性格    s ing g eh
性能	s ing n ng
性質	s ing zh ii
怨	yuan
怨恨     uan h un
怪	g uai
怪    g uai
怪怪    g uai g uai
怪物	g uai u
怪物    g uai bh ut
怫	f u
怯	c ie
怯	c yue
怵	ch u
恁	rh ern
恂	s yun
恃	sh ii
恆	h ng
恍	h uang
恐	k ong
恐    k iong
恐怕	k ong p a
恐怕    k iong g iann
恐怖	k ong b u
恐怖    k iong b o
恐懼	k ong z yu
恕	sh u
恙	iang
恚	h uei
恢	h uei
恢復	h uei f u
恢復    k ue h ok
恣	z ii
恤	s yu
恥	ch ii
恨	h ern
恨    h un
恩	ern
恩     in
恩師     in s u
恫	d ong
恬	t ien
恭	g ong
恭喜    g iong h i
息	s i
恰	c ia
恿	iong
悄	c iau
悅	yue
悉	s i
悌	t i
悍	h an
悔	h uei
悖	b ei
悚	s ong
悟	u
悠	iou
患	h uan
患者	h uan zh er
您	n in
您    l an
悲	b ei
悲    b i
悲傷	b ei sh ang
悲傷    b i  ai
悲傷    b i s iong
悲傷    s iong b i
悴	c uei
悵	ch ang
悶	m ern
悶    h ip
悸	z i
悻	s ing
悼	d au
悽慘    c i c am
情	c ing
情    z ing
情人	c ing rh ern
情人     ai r in  a
情人節	c ing rh ern z ie
情侶	c ing l yu
情報	c ing b au
情形	c ing s ing
情形    z ing h ing
情感	c ing g an
情況	c ing k uang
情況    z ing h ing
情節	c ing z ie
情緒	c ing s yu
情色	c ing s er
情趣	c ing c yu
惆	ch ou
惇	d un
惋	uan
惑	h uo
惓	c yuan
惕	t i
惘	uang
惚	h u
惜	s i
惜    s iorh
惟	uei
惠	h uei
惡	er
惡     ok
惡    p ainn
惡婆娘    h o b a bh u
惦	d ien
惰	d uo
惱	n au
想	s iang
想    bh eh
想    s iunn
想    s u
想不到    s iunn bh e g au
想像	s iang s iang
想到	s iang d au
想到    s iunn d iorh
想想	s iang s iang
想法	s iang f a
想法    s im  i
想法    s iunn h uat
想要	s iang iau
想要    s iunn bh eh
想說    s iunn g ong
想起	s iang c i
想起    s iunn k i
惴	zh uei
惶	h uang
惹	rh er
惹    r ia
惺	s ing
惻	c er
愀	c iau
愁	ch ou
愆	c ien
愈	u
愈來愈	yu l ai yu
愉	yu
愉快	yu k uai
愉快    h uann h i
愉快    k uinn  uah
愉快    s im s ik
愍	m in
愎	b i
意	i
意     i
意味	i uei
意外	i uai
意思	i s ii
意思     i s u
意義	i i
意義     i gh i
意見	i z ien
意識	i sh ii
愐	m ien
愕	er
愚	yu
愛	ai
愛     ai
愛上	ai sh ang
愛人     ai r in
愛心	ai s in
愛心     ai s im
愛情	ai c ing
愛情     ai z ing
愜	c ie
感	g an
感冒	g an m au
感冒    g am m o
感到	g an d au
感動	g an d ong
感動    g am d ong
感受	g an sh ou
感恩	g an ern
感恩    g am  un
感情	g an c ing
感情    g am z ing
感情    z ing  i
感染	g an rh an
感覺	g an z yue
感覺    g am g ak
感謝	g an s ie
感謝    d or s ia
感謝    g am s ia
愣	l ng
愧	k uei
愫	s u
愴	ch uang
愷	k ai
愾	k ai
愿	yuan
慄	l i
慇	in
慈	c ii
慈善	c ii sh an
態	t ai
態度	t ai d u
慌	h uang
慌慌張張    h iong h iong g ong g ong
慍	ia
慎	sh ern
慓	p iau
慕	m u
慘	c an
慘    c am
慘    t iam
慚	c an
慝	t er
慟	t ong
慢	m an
慢    bh an
慢慢	m an m an
慢慢    bh an bh an
慢慢    z iam z iam
慢慢的    bh an bh an  a
慢慢的    d auh d auh  a
慣	g uan
慧	h uei
慨	k ai
慫	s ong
慬	c in
慮	l yu
慰	uei
慳	c ien
慵	iong
慶	c ing
慶祝	c ing zh u
慷	k ang
慼	c i
憂	iou
憂愁     iu c iu
憊	b ei
憋	b ie
憍	z iau
憎	z ng
憐	l ien
憑	p ing
憒	k uei
憔	c iau
憚	d an
憟	s u
憤	f ern
憤怒	f ern n u
憧	ch ong
憨	h an
憩	c i
憫	m in
憬	z ing
憮	u
憲	s ien
憶	i
憾	h an
懂	d ong
懂    bh at
懂得	d ong d er
懂得     e h iau
懂得    z ai  iann
懇	k ern
懈	s ie
應	ing
應     in
應用	ing iong
應該	ing g ai
應該     ing g ai
懊	au
懋	m au
懍	l in
懟	d uei
懣	m ern
懦	n uo
懨	ien
懭	k uang
懮	iou
懲	ch ng
懵	m ng
懶	l an
懷	h uai
懷    h uai
懷孕	h uai yun
懷孕     u s in
懷孕    s in
懷念	h uai n ien
懷念    h uai l iam
懷念    s iau l iam
懷疑	h uai i
懸	s yuan
懺	ch an
懼	z yu
懾	zh er
懿	i
戀	l ien
戀愛	l ien ai
戇	zh uang
戈	g er
戊	u
戌	s yu
戍	sh u
戎	rh ong
成	ch ng
成    s ing
成人	ch ng rh ern
成仙    z or s en
成份	ch ng f ern
成分	ch ng f ern
成功	ch ng g ong
成功    s ing g ong
成員	ch ng yuan
成就	ch ng z iou
成本	ch ng b ern
成果	ch ng g uo
成為	ch ng uei
成為    z iann z or
成熟	ch ng sh u
成立	ch ng l i
成績	ch ng z i
成長	ch ng zh ang
我	uo
我    gh ua
我    gh uan
我    ng o
我們	uo m ern
我們    gh uan
我們    l an
我的	uo d er
我的    gh uan
戒	z ie
戒    g ai
戕	c iang
或	h uo
或     iah
或是	h uo sh ii
或是     iah s i
或者	h uo zh er
或者     iah s i
或者    h ik z ia
或許	h uo s yu
戚	c i
戛	z ia
戟	z i
戡	k an
戧	c iang
戩	z ien
截	z ie
戮	l u
戰	zh an
戰    z en
戰士	zh an sh ii
戰爭	zh an zh ng
戰略	zh an l yue
戰鬥	zh an d ou
戲	s i
戲    c ut
戲    h i
戲劇	s i z yu
戲弄    h i l ang
戳	ch uo
戴	d ai
戴    d i
戴    g ua
戶	h u
戶    h o
戶外	h u uai
戽	h u
戾	l i
房	f ang
房    b ang
房價	f ang z ia
房地產	f ang d i ch an
房子	f ang z ii
房屋	f ang u
房屋    c u
房間	f ang z ien
房間    b ang g ing
所	s uo
所    s o
所以	s uo i
所以    s o  i
所在	s uo z ai
所在    s o z ai
所得	s uo d er
所有	s uo iou
所有    s o  u
所謂	s uo uei
扁	b ien
扂	d ien
扇	sh an
扈	h u
扉	f ei
手	sh ou
手    c iu
手上	sh ou sh ang
手下     e k a c iu l ang
手中	sh ou zh ong
手冊	sh ou c er
手工	sh ou g ong
手指	sh ou zh ii
手機	sh ou z i
手機    c iu g i  a
手段	sh ou d uan
手法	sh ou f a
手術	sh ou sh u
才	c ai
才     m z iah
才    z iah
扎	zh a
扒	p a
打	d a
打    d ann
打    k a
打    p ah
打    z ing
打哆嗦    p ih p ih c uah
打工	d a g ong
打扮    d ann b an
打擊	d a z i
打擾    g iau r iau
打架    s ior p ah
打死    p ah s i
打球    p ah g iu
打破	d a p uo
打算	d a s uan
打造	d a z au
打針    z u s ia
打開	d a k ai
打開    d en
打雷    d an l ui g ong
扔	rh ng
托	t uo
扛	g ang
扛	k ang
扛    g ng
扛    gh ia
扣	k ou
扭	n iou
扮	b an
扮演	b an ien
扯	ch er
扯    c uah
扯    k iu
扳	b an
扳	p an
扶	f u
扶    h u
批	p i
批    p ue
批發	p i f a
批評	p i p ing
扼	er
找	zh au
找    c ue
找    z au
找出	zh au ch u
找到	zh au d au
找到    c ue d iorh
承	ch ng
承受	ch ng sh ou
承擔	ch ng d an
承擔    l am
承擔    p ainn
承認	ch ng rh ern
承諾	ch ng n uo
承諾    d ah  ing
技	z i
技巧	z i c iau
技能	z i n ng
技術	z i sh u
抄	ch au
抉	z yue
把	b a
把    g a
把握	b a uo
把握    b a  ak
抑	i
抒	sh u
抓	zh ua
抓    l iah
抓到    l iah d iorh
投	t ou
投入	t ou rh u
投票	t ou p iau
投資	t ou z ii
抖	d ou
抖    c uah
抗	k ang
抗議	k ang i
折	zh er
折扣	zh er k ou
抨	p ng
披	p i
抬	t ai
抬頭    gh iah t au
抱	b au
抱    l am
抱    m oh
抱    p or
抱怨	b au yuan
抱歉	b au c ien
抱緊緊    l am d iau d iau
抵	d i
抵    d u
抵達	d i d a
抹	m uo
抹    bh uah
押	ia
押     ah
抽	ch ou
抿	m in
拂	f u
拆	ch ai
拆    t iah
拇	m u
拈	n ien
拉	l a
拉    k iu
拋	p au
拌	b an
拍	p ai
拍    d ah
拍攝	p ai sh er
拍照	p ai zh au
拍照    h ip
拍賣	p ai m ai
拎	l ing
拏	n a
拐	g uai
拒	z yu
拒絕	z yu z yue
拓	t uo
拔	b a
拔    bh an
拖	t uo
拖    t ua
拖磨    t ua bh ua
拗	au
拗	n iou
拘	z yu
拙	zh uo
拚	p in
拚    b iann
招	zh au
招    z iau
招    z ior
招牌	zh au p ai
拜	b ai
拜    b ai
拜三    b ai s ann
拜拜    b ai b ai
拜託    b ai t ok
括	g ua
拭	sh ii
拭    c it
拮	z ie
拯	zh ng
拯救	zh ng z iou
拱	g ong
拳	c yuan
拳    g un
拴	sh uan
拷	k au
拼	p in
拽	zh uai
拾	sh ii
拿	n a
拿    gh iah
拿    l iah
拿    s a
拿    t eh
拿來	n a l ai
拿出	n a ch u
拿出    t e c ut
拿到	n a d au
拿著    t eh d iorh
持	ch ii
持有	ch ii iou
持續	ch ii s yu
指	zh ii
指    z i
指出	zh ii ch u
指出    z i c ut
指南	zh ii n an
指定	zh ii d ing
指定    z i d ing
指導	zh ii d au
指教    z i g au
指數	zh ii sh u
指標	zh ii b iau
指示	zh ii sh ii
挈	c ie
按	an
按    c ih
按下	an s ia
按摩	an m uo
按摩    l iah
按照	an zh au
按照    z iau
按鈕	an n iou
挎	k ua
挑	t iau
挑    d ann
挑    g ing
挑戰	t iau zh an
挑選	t iau s yuan
挖	ua
挖     o
挨	ai
挨     e
挪	n uo
挫	c uo
振	zh ern
振作    z in z ok
挲	s uo
挹	i
挺	t ing
挽	uan
挽    bh an
挾	s ie
挾	z ia
捂	u
捅	t ong
捆	k un
捉	zh uo
捉弄    c ong d i
捉迷藏    bh ih s ior c ue
捋	l uo
捋	l yu
捌	b a
捍	h an
捎	sh au
捏	n ie
捐	z yuan
捐    g uan
捕	b u
捧	p ng
捧    p ang
捨	sh er
捩	l ie
捫	m ern
捭	b ai
捱	ai
捲	z yuan
捲    g ng
捶	ch uei
捷	z ie
捷    z iap
捷運	z ie yun
捷運    z et  un
捺	n a
捻	n ien
掀	s ien
掀    h en
掁	ch ng
掂	d ien
掃	s au
掃    s au
掃帚    s au c iu
掄	l un
掇	d uo
授	sh ou
授權	sh ou c yuan
掉	d iau
掉    l ak
掊	p ou
掌	zh ang
掌握	zh ang uo
掏	t au
掐	c ia
排	p ai
排    b ai
排名	p ai m ing
排除	p ai ch u
排隊	p ai d uei
排隊    b ai d ui
掖	i
掖	ie
掘	z yue
掘    g ut
掙	zh ng
掛	g ua
掛    g ua
掠	l yue
採	c ai
採    bh an
採取	c ai c yu
採用	c ai iong
採訪	c ai f ang
採訪    c ai h ong
採購	c ai g ou
探	t an
探索	t an s uo
探討	t an t au
掣	ch er
接	z ie
接    z iap
接下來	z ie s ia l ai
接到	z ie d au
接受	z ie sh ou
接受    z iap s iu
接收	z ie sh ou
接著	z ie zh er
接觸	z ie ch u
接近	z ie z in
控	k ong
控制	k ong zh ii
推	t uei
推     e
推    l u
推    s ak
推出	t uei ch u
推動	t uei d ong
推廣	t uei g uang
推薦	t uei z ien
推薦    t ui z en
掩	ien
掩蓋     am k am
措	c uo
措施	c uo sh ii
措施    b an h uat
掬	z yu
掭	t ien
掮	c ien
掰	b ai
揀	z ien
揄	yu
揆	k uei
揉	rh ou
揍	z ou
揍    z ing
描	m iau
描述	m iau sh u
提	t i
提    g uann
提交	t i z iau
提供	t i g ong
提供    t e g iong
提出	t i ch u
提出    t e c ut
提到	t i d au
提前	t i c ien
提升	t i sh ng
提督    t e d ok
提示	t i sh ii
提醒	t i s ing
提醒    t e c enn
提高	t i g au
插	ch a
插    c ah
插播    c ah b o
揖	i
揚	iang
換	h uan
換     uann
揠	ia
握	uo
揣	ch uai
揩	k ai
揪	z iou
揪    k iu
揭	z ie
揮	h uei
援	yuan
揵	z ien
揶	ie
揹	b ei
揹    p ainn
搆	g ou
損	s un
損失	s un sh ii
損失    l iau
損害	s un h ai
搏	b uo
搐	ch u
搓	c uo
搔	s au
搖	iau
搖     ior
搖滾	iau g un
搗	d au
搗    z ing
搜	s ou
搜尋	s ou s yun
搜索	s ou s uo
搞	g au
搞    bh u
搞笑	g au s iau
搠	sh uo
搡	s ang
搦	n uo
搧	sh an
搧     et
搪	t ang
搬	b an
搬    b uann
搬家	b an z ia
搬家    b uann c u
搭	d a
搭    d ah
搭乘	d a ch ng
搭配	d a p ei
搶	c iang
搶    c iunn
搽	ch a
搾	zh a
摀	u
摁	ern
摑	g uo
摔	sh uai
摔    s iak
摘	zh ai
摘	zh er
摘    bh an
摜	g uan
摟	l ou
摧	c uei
摩	m uo
摩托車     o d o bh ai
摯	zh ii
摰	n ie
摳	k ou
摶	t uan
摸	m uo
摸    bh ong
摹	m uo
摺	zh er
摻	ch an
摻	sh an
摽	b iau
摽	p iau
撂	l iau
撇	p ie
撈	l au
撈    h o
撐	ch ng
撐    bh an
撒	s a
撓	n au
撕	s ii
撙	z un
撚	n ien
撞	zh uang
撞    k or
撞    l ong
撞    z ing
撞到    l ong d iorh
撟	z iau
撢	d an
撣	d an
撤	ch er
撥	b uo
撥    b ue
撩	l iau
撫	f u
撫養    c iann  iong
撬	c iau
播	b uo
播     ia
播出	b uo ch u
播放	b uo f ang
撮	c uo
撰	zh uan
撲	p u
撳	c in
撻	t a
撼	h an
撾	zh ua
撿	z ien
撿    k iorh
擁	iong
擁抱	iong b au
擁有	iong iou
擂	l ei
擂    l ui
擂臺    l ui d ai
擂臺主    l ui d ai z u
擄	l u
擅	sh an
擇	z er
擊	z i
擊    g ong
擊    l ui
擋	d ang
擋    d ong
操	c au
操作	c au z uo
操勞    c au l or
擎	c ing
擒	c in
擔	d an
擔    d ann
擔任	d an rh ern
擔心	d an s in
擔心    c au h uan
擘	b uo
據	z yu
據說	z yu sh uo
據說    t iann g ong
擠	z i
擢	zh uo
擤	s ing
擦	c a
擦    c it
擬	n i
擯	b in
擰	n ing
擱	g er
擱    k ng
擲	zh ii
擴	k uo
擴大	k uo d a
擷	s ie
擷	z ie
擺	b ai
擺    b ai
擻	s ou
擾	rh au
攀	p an
攆	n ien
攏	l ong
攔	l an
攖	ing
攘	rh ang
攙	ch an
攜	s i
攜帶	s i d ai
攝	sh er
攝影	sh er ing
攝影    l iap  iann
攢	c uan
攢	z an
攣	l ien
攣	l yuan
攤	t an
攤    d ann
攥	z uan
攪	z iau
攫	z yue
攬	l an
支	zh ii
支    g i
支付	zh ii f u
支持	zh ii ch ii
支持    z ih z ai
支援	zh ii yuan
收	sh ou
收    s iu
收入	sh ou rh u
收到	sh ou d au
收成    s iu s ing
收聽    s iu t iann
收藏	sh ou c ang
收費	sh ou f ei
收購	sh ou g ou
收錄	sh ou l u
收集	sh ou z i
攸	iou
改	g ai
改    g ai
改善	g ai sh an
改善    g ai s en
改為	g ai uei
改編	g ai b ien
改變	g ai b ien
改變    g ai b en
改造	g ai z au
改進	g ai z in
改革	g ai g er
攻	g ong
攻擊	g ong z i
放	f ang
放    b ang
放    k ng
放下	f ang s ia
放入	f ang rh u
放大	f ang d a
放學    b ang  orh
放心	f ang s in
放心     an s im
放心    h ong s im
放手    b ang c iu
放棄	f ang c i
放棄    b ang s ak
放棄    h ong k i
放置	f ang zh ii
放置    h e
放鬆	f ang s ong
政	zh ng
政府	zh ng f u
政府    z ing h u
政權	zh ng c yuan
政治	zh ng zh ii
政策	zh ng c er
政黨	zh ng d ang
故	g u
故    g o
故事	g u sh ii
故事    g o s u
故意	g u i
故意    p en p en
故意    t iau g ang
故鄉    g o h iong
效	s iau
效應	s iau ing
效果	s iau g uo
效率	s iau l yu
效益	s iau i
效能	s iau n ng
敏	m in
敏    bh in
敏感	m in g an
救	z iou
救    g iu
救人    g iu l ang
救命    g iu m ia
救護車    g iu h o c ia
敕	ch ii
敖	au
敗	b ai
敘	s yu
教	z iau
教    g a
教    g au
教主    g au z u
教堂	z iau t ang
教堂    g au d ng
教學	z iau s yue
教室	z iau sh ii
教室    g au s ik
教導	z iau d au
教師	z iau sh ii
教師    g au s u
教師    s en s inn
教授	z iau sh ou
教授    g au s iu
教會	z iau h uei
教材	z iau c ai
教練	z iau l ien
教育	z iau yu
教育    g au  iok
教育部	z iau yu b u
教訓    g a s i
敝	b i
