漢字,羅馬字,來源,會用得無
!,!,詞彙分級
!,！,詞彙分級
滾水啊,kun2-tsui2-ah4,twisas-語料庫系統
滾水啦,kun2-tsui2-lah4,twisas-語料庫系統
滾水山,kun2-tsui2-suann1,itaigi
滾水罐,kun2-tsui2-kuan3,twisas-語料庫系統
滾水罐,kun2-tsui2-kuan3,教典詞條
滾水罐乎,kun2-tsui2-kuan3-honnh4,twisas-語料庫系統
滾滾,kun2-kun2,itaigi
滾滾,kun2-kun2,twisas-語料庫系統
滾滾,kun2-kun2,教典例句
滾滾,kun2-kun2,詞彙分級
滾矣,kun2-ah4,教典例句
滾笑,kun2-tshio3,itaigi
滾笑,kun2-tshio3,教典例句
滾笑,kun2-tshio3,教典詞條
滾笑,kun2-tshio3,詞彙分級
滾絞,kun2-ka2,itaigi
滾絞,kun2-ka2,教典例句
滾絞,kun2-ka2,教典詞條
滾絞,kun2-ka2,詞彙分級
滾絞疼,kun2-ka2-thiann3,教典例句
滾絞疼,kun2-ka2-thiann3,教典詞條
滾耍笑,kun2-sng2-tshio3,twisas-語料庫系統
滾耍笑,kun2-sng2-tshio3,教典詞條
滾耍笑,kun2-sng2-tshio3,詞彙分級
滾耍笑的,kun2-sng2-tshio3-e5,教典例句
滾耍笑的啦,kun2-sng2-tshio3-e5-lah4,twisas-語料庫系統
滾藥水,kun2-ioh8-tsui2,itaigi
滾蛟龍,kun2-ka2-liong5,itaigi
滾蛟龍,kun2-kau1-liong5,itaigi
滾躘,kun2-ling3,itaigi
滾躘,kun2-liong3,itaigi
滾躘,kun2-liong3,教典例句
滾躘,kun2-liong3,詞彙分級
滾龍,kun2-liong5,itaigi
滿,buan2,itaigi
滿,buan2,twisas-語料庫系統
滿,buan2,教典例句
滿,buan2,教典詞條
滿,buan2,詞彙分級
滿,mua2,教典例句
滿,mua2,教典詞條
滿,mua2,詞彙分級
滿出來矣,buan2-tshut4-lai5-ah4,教典例句
滿分,buan2-hun1,詞彙分級
滿分,mua2-hun1,詞彙分級
滿四山,mua2-si3-suann1,itaigi
滿四山,mua2-si3-suann1,詞彙分級
滿四界,mua2-si3-ke3,教典例句
滿四界,mua2-si3-ke3,教典詞條
滿四界,mua2-si3-ke3,詞彙分級
滿四界,mua2-si3-kue3,教典詞條
滿四界,mua2-si3-kue3,詞彙分級
滿四界矣,mua2-si3-ke3-ah4,教典例句
滿城,mua2-siann5,itaigi
滿城風雨,mua2-siann5-hong1-u2,詞彙分級
滿壘,buan2-lui2,教典詞條
滿壘,mua2-lui2,教典詞條
滿天,mua2-thinn1,itaigi
滿天,mua2-thinn1,詞彙分級
滿山,mua2-suann1,詞彙分級
滿山坪,mua2-suann1-phiann5,itaigi
滿山紅,mua2-suann1-ang5,詞彙分級
滿州國,buan2-tsiu1-kok4,twisas-語料庫系統
滿心,mua2-sim1,詞彙分級
滿意,buan2-i3,twisas-語料庫系統
滿意,buan2-i3,詞彙分級
滿意,mua2-i3,itaigi
滿意,mua2-i3,教典例句
滿意,mua2-i3,教典詞條
滿意,mua2-i3,詞彙分級
滿意乎,buan2-i3-honnh4,twisas-語料庫系統
滿意喔,buan2-i3-ooh4,twisas-語料庫系統
滿意矣,mua2-i3-ah4,教典例句
滿月,mua2-geh8,教典詞條
滿月,mua2-geh8,詞彙分級
滿月,mua2-gueh8,itaigi
滿月,mua2-gueh8,教典詞條
滿月,mua2-gueh8,詞彙分級
滿月矣,mua2-gueh8-ah4,教典例句
滿月酒,mua2-gueh8-tsiu2,詞彙分級
滿洋直蓋,mua2-iunn5-tit8-kai3,itaigi
滿洲,buan2-tsiu1,itaigi
滿洲利亞,buan2-tsiu1-li7-a1,itaigi
滿洲國,buan2-tsiu1-kok4,itaigi
滿洲小田螺,buan2-tsiu1-sio2-tshan5-le5,itaigi
滿清,buan2-tshing1,twisas-語料庫系統
滿清,buan2-tshing1,詞彙分級
滿滿,buan2-buan2,教典例句
滿滿,buan2-buan2,教典詞條
滿滿,buan2-buan2,詞彙分級
滿滿,mua2-mua2,twisas-語料庫系統
滿滿,mua2-mua2,教典詞條
滿滿,mua2-mua2,詞彙分級
滿滿是,mua2-mua2-si7,twisas-語料庫系統
滿滿是,mua2-mua2-si7,教典例句
滿滿是,mua2-mua2-si7,教典詞條
滿滿是,mua2-mua2-si7,詞彙分級
滿滿滿,mua2-mua2-mua2,詞彙分級
滿漢全席,buan2-han3-tsuan5-sik8,教典詞條
滿的,mua2-e5,教典例句
滿矣,mua2-ah4,twisas-語料庫系統
滿腹,mua2-pak4,教典例句
滿腹,mua2-pak4,教典詞條
滿腹,mua2-pak4,詞彙分級
滿足,buan2-tsiok4,教典例句
滿足,buan2-tsiok4,教典詞條
滿足,buan2-tsiok4,詞彙分級
滿足感,buan2-tsiok4-kam2,詞彙分級
滿身,mua2-sin1,詞彙分級
滿面,mua2-bin7,itaigi
滿面,mua2-bin7,twisas-語料庫系統
滿面,mua2-bin7,教典例句
滿面,mua2-bin7,教典詞條
滿面,mua2-bin7,詞彙分級
漁,gu5,教典詞條
漁,hi5,教典詞條
漁,hu5,教典詞條
漁人,gu5-jin5,詞彙分級
漁人,hi5-jin5,詞彙分級
漁保,hi5-po2,詞彙分級
漁冬,hi5-tang1,詞彙分級
漁場,hi5-tiunn5,教典詞條
漁場,hi5-tiunn5,詞彙分級
漁場,hu5-tiunn5,教典詞條
漁市,hi5-tshi7,詞彙分級
漁會,hi5-hue7,教典詞條
漁會,hi5-hue7,詞彙分級
漁會,hu5-hue7,教典詞條
漁村,hi5-tshuan1,教典詞條
漁村,hi5-tshuan1,詞彙分級
漁村,hi5-tshun1,教典詞條
漁村,hi5-tshun1,詞彙分級
漁村,hu5-tshuan1,教典詞條
漁村,hu5-tshun1,教典詞條
漁業,hi5-giap8,教典詞條
漁業,hi5-giap8,詞彙分級
漁業,hu5-giap8,教典詞條
漁民,hi5-bin5,教典詞條
漁民,hi5-bin5,詞彙分級
漁民,hu5-bin5,教典詞條
漁民,hu5-bin5,詞彙分級
漁港,hi5-kang2,教典詞條
漁港,hi5-kang2,詞彙分級
漁港,hu5-kang2,教典詞條
漁火,hi5-hue2,詞彙分級
漁網,hi5-bang7,教典詞條
漁網,hu5-bang7,教典詞條
漁網仔,hi5-bang7-a2,詞彙分級
漁船,hi5-tsun5,教典例句
漁船,hi5-tsun5,教典詞條
漁船,hi5-tsun5,詞彙分級
漁船,hu5-tsun5,教典詞條
漁船仔,hi5-tsun5-a2,教典例句
漁船仔,hi5-tsun5-a2,詞彙分級
漁貨,hi5-hue3,詞彙分級
漂,phiau1,教典例句
漂,phiau1,教典詞條
漂,phiau3,教典詞條
漂,phio3,教典詞條
漂泊,phiau1-phik4,詞彙分級
漂流,phiau1-liu5,詞彙分級
漂流木,phiau1-liu5-bok8,詞彙分級
漂浪,phiau1-long7,詞彙分級
漂漂,phiau1-phiau1,詞彙分級
漂白,phio3-peh8,教典例句
漂白,phio3-peh8,教典詞條
漂白粉,phio3-peh8-hun2,教典詞條
漆,tshat4,教典例句
漆,tshat4,教典詞條
漆,tshat4,詞彙分級
漉,lok4,教典詞條
漉,lok8,itaigi
漉,lok8,教典詞條
漉喙,lok8-tshui3,教典例句
漉喙,lok8-tshui3,教典詞條
漉漉咧,lok8-lok8-leh4,教典例句
漉糊仔糜,lok8-koo5-a2-muai5,itaigi
漉糊仔糜,lok8-koo5-a2-mue5,詞彙分級
漉糊糜,lok4-koo5-mue5,itaigi
漉糊糜,lok8-koo5-be5,教典詞條
漉糊糜,lok8-koo5-muai5,教典詞條
漉糊糜,lok8-koo5-mue5,教典詞條
漉糊糜仔,lok8-koo5-muai5-a2,itaigi
漉糊糜仔,lok8-koo5-mue5-a2,itaigi
漉糊糜仔,lok8-koo5-mue5-a2,教典例句
漏,lau7,教典例句
漏,lau7,教典詞條
漏,lau7,詞彙分級
漏,loo7,教典詞條
漏出來矣,lau7-tshut4-lai5-ah4,教典例句
漏壺,lau7-oo5,itaigi
漏水,lau7-tsui2,twisas-語料庫系統
漏洩,lau7-siap8,教典例句
漏洩,lau7-siap8,教典詞條
漏洩,lau7-siap8,詞彙分級
漏稅,lau7-se3,教典詞條
漏稅,lau7-sue3,教典詞條
演,ian2,twisas-語料庫系統
演,ian2,教典例句
演,ian2,教典詞條
演,ian2,詞彙分級
演出,ian2-tshut4,教典例句
演出,ian2-tshut4,教典詞條
演出,ian2-tshut4,詞彙分級
演化,ian2-hua3,教典詞條
演員,ian2-guan5,教典詞條
演員,ian2-uan5,itaigi
演員,ian2-uan5,教典例句
演員,ian2-uan5,教典詞條
演員,ian2-uan5,詞彙分級
演唱,ian2-tshiunn3,教典詞條
演唱,ian2-tshiunn3,詞彙分級
演唱會,ian2-tshiunn3-hue7,itaigi
演唱會,ian2-tshiunn3-hue7,詞彙分級
演奏,ian2-tsau3,教典詞條
演奏,ian2-tsau3,詞彙分級
演奏啊,ian2-tsau3-ah4,twisas-語料庫系統
演戲,ian2-hi3,教典詞條
演技,ian2-ki1,教典例句
演技,ian2-ki1,教典詞條
演技,ian2-ki1,詞彙分級
演歌,ian2-kua1,詞彙分級
演的,ian2-e5,twisas-語料庫系統
演練,ian2-lian7,教典詞條
演義,ian2-gi7,教典例句
演義,ian2-gi7,教典詞條
演習,ian2-sip8,教典詞條
演習,ian2-sip8,詞彙分級
演藝,ian2-ge7,教典詞條
演藝廳,ian2-ge7-thiann1,詞彙分級
演說,ian2-suat4,教典詞條
演說,ian2-suat4,詞彙分級
演講,ian2-kang2,twisas-語料庫系統
演講,ian2-kang2,教典例句
演講,ian2-kang2,教典詞條
演講,ian2-kang2,詞彙分級
演變,ian2-pian3,教典詞條
演變,ian2-pian3,詞彙分級
演進,ian2-tsin3,教典詞條
漖,ka3,教典例句
漖,ka3,教典詞條
漚,au1,twisas-語料庫系統
漚,au1,教典例句
漚,au1,教典詞條
漚,au1,詞彙分級
漚,au2,教典詞條
漚,au3,twisas-語料庫系統
漚,au3,教典例句
漚,au3,教典詞條
漚,au3,詞彙分級
漚客,au3-kheh4,itaigi
漚客,au3-kheh4,教典詞條
漚屎,au3-sai2,教典例句
漚屎,au3-sai2,教典詞條
漚屎色,au3-sai2-sik4,itaigi
漚屎面,au3-sai2-bin7,教典例句
漚屎面,au3-sai2-bin7,教典詞條
漚柴,au3-tsha5,詞彙分級
漚步,au3-poo7,教典例句
漚步,au3-poo7,詞彙分級
漚漚,au3-au3,twisas-語料庫系統
漚肥,au1-pui5,教典例句
漚肥,au1-pui5,教典詞條
漚腳數,au3-kioh4-siau3,itaigi
漚膎唌蠅,au3-ke5-siann5-sin5,itaigi
漚臭,au2-tshau3,詞彙分級
漚色,au3-sik4,教典例句
漚色,au3-sik4,教典詞條
漚菜肥,au1-tshai3-pui5,詞彙分級
漚落去,au1-loh8-khi3,教典例句
漚貨,au3-hue3,教典例句
漚跤,au3-kha1,itaigi
漚郎,au3-long5,itaigi
漚鬱,au3-ut4,詞彙分級
漚鬱熱,au3-ut4-juah8,教典詞條
漚鬱熱,au3-ut4-luah8,教典詞條
漚鹹菜,au1-kiam5-tshai3,教典詞條
漚鹹菜,au3-kiam5-tshai3,詞彙分級
漚鹹菜咧,au1-kiam5-tshai3-leh4,教典例句
漚黃,au3-uinn5,itaigi
漠,bok8,教典詞條
漢,han3,itaigi
漢,han3,教典例句
漢,han3,教典詞條
漢,han3,詞彙分級
漢人,han3-jin5,教典詞條
漢人,han3-jin5,詞彙分級
漢人,han3-lin5,教典詞條
漢名,han3-mia5,詞彙分級
漢堡,han3-po2,itaigi
漢堡,han3-po2,詞彙分級
漢堡,漢-堡,詞彙分級
漢子,han3-tsu2,詞彙分級
漢字,han3-ji7,itaigi
漢字,han3-ji7,教典詞條
漢字,han3-ji7,詞彙分級
漢字,han3-li7,教典詞條
漢學仔先,han3-oh8-a2-sian1,教典例句
漢學仔先,han3-oh8-a2-sian1,教典詞條
漢文,han3-bun5,itaigi
漢文,han3-bun5,twisas-語料庫系統
漢文,han3-bun5,教典例句
漢文,han3-bun5,教典詞條
漢文,han3-bun5,詞彙分級
漢族,han3-tsok8,詞彙分級
漢朝,han3-tiau5,教典例句
漢羅,han3-lo5,itaigi
漢聲,han3-sing1,教典詞條
漢草,han3-tshau2,itaigi
漢草,han3-tshau2,教典例句
漢草,han3-tshau2,教典詞條
漢草,han3-tshau2,詞彙分級
漢草好,han3-tshau2-ho2,itaigi
漢藥,han3-ioh8,twisas-語料庫系統
漢藥,han3-ioh8,教典詞條
漢藥,han3-ioh8,詞彙分級
漢藥店,han3-ioh8-tiam3,教典詞條
漢藥店,han3-ioh8-tiam3,詞彙分級
漢藥店啊,han3-ioh8-tiam3-ah4,twisas-語料庫系統
漢語,han3-gi2,詞彙分級
漢醫,han3-i1,教典詞條
漢醫學,han3-i1-hak8,itaigi
漩,suan1,教典詞條
漩,suan7,itaigi
漩,suan7,教典例句
漩,suan7,教典詞條
漩,suan7,詞彙分級
漩尿,suan7-jio7,教典例句
漩尿,suan7-jio7,教典詞條
漩尿,suan7-lio7,教典詞條
漩桶,suan1-thang2,教典詞條
漩桶,suan7-thang2,教典詞條
漩落去,suan7-loh8-khi3,詞彙分級
漫,ban7,教典詞條
漫,ban7,詞彙分級
漫漫,ban7-ban7,詞彙分級
漫畫,bang3-gah4,itaigi
漫畫,bang3-kah4,itaigi
漫談,ban7-tam5,教典詞條
漫遊,ban7-iu5,教典詞條
漫長,ban7-tiong5,詞彙分級
漲,tiong3,教典詞條
漲,tiong3,詞彙分級
漲,tiunn3,教典例句
漲,tiunn3,教典詞條
漲大水,tiong3-tua7-tsui2,itaigi
漲懸價,tiunn3-kuan5-ke3,教典例句
漲懸價,tiunn3-kuan5-ke3,教典詞條
漲水,tiong3-tsui2,itaigi
漲起來矣,tiong3-khi2-lai5-ah4,教典例句
漳,tsiang1,教典詞條
漳州,tsiang1-tsiu1,itaigi
漳州,tsiang1-tsiu1,教典例句
漳州,tsiang1-tsiu1,詞彙分級
漳泉,tsiang1-tsuan5,詞彙分級
漳泉拚,tsiang1-tsuan5-piann3,詞彙分級
漸,tsiam7,教典詞條
漸,tsiam7,詞彙分級
漸漸,tsiam7-tsiam7,教典例句
漸漸,tsiam7-tsiam7,教典詞條
漸漸,tsiam7-tsiam7,詞彙分級
漸漸仔,tsiam7-tsiam7-a2,教典例句
漾,iong7,詞彙分級
漿,tsiong1,教典詞條
漿,tsiunn1,itaigi
漿,tsiunn1,教典例句
漿,tsiunn1,教典詞條
漿,tsiunn1,詞彙分級
漿泔,tsiunn1-am2,教典例句
漿泔,tsiunn1-am2,教典詞條
漿洗,tsiunn1-se2,教典詞條
漿洗,tsiunn1-sue2,教典詞條
漿衫,tsiunn1-sann1,教典詞條
潑,phuah4,教典例句
潑,phuah4,教典詞條
潑,phuah4,詞彙分級
潑,phuat4,教典詞條
潑入來,phuah4-jip8-lai5,教典例句
潑出去,phuah4-tshut4-khi3,twisas-語料庫系統
潑出去,phuah4-tshut4-khi3,教典例句
潑水節,phuah4-tsui2-tseh4,詞彙分級
潑著,phuah4-tioh8,詞彙分級
潑雨,phuah4-hoo7,教典例句
潑雨,phuah4-hoo7,教典詞條
潔,kiat4,教典詞條
潔,kiat4,詞彙分級
潘,phuan1,教典詞條
潘,phuann1,教典詞條
潘,phuann1,詞彙分級
潘,phun1,itaigi
潘,phun1,教典詞條
潘kèmmuh4,phun1-kèm-muh4,itaigi
潘啦,phuan1-lah4,twisas-語料庫系統
潘桶,phun1-thang2,twisas-語料庫系統
潘桶,phun1-thang2,教典詞條
潘水,phun1-tsui2,教典詞條
潘泔,phun1-am2,教典詞條
潘的,phuann1-e5,詞彙分級
潛,tsiam5,教典詞條
潛力,tsiam5-lik8,教典詞條
潛水艇,tsiam5-tsui2-thing2,詞彙分級
潛能,tsiam5-ling5,教典詞條
潛能,tsiam5-ling5,詞彙分級
潤,jun7,教典例句
潤,jun7,教典詞條
潤,jun7,詞彙分級
潤,lun7,教典詞條
潤,lun7,詞彙分級
潤去,jun7-khi3,詞彙分級
潤喉,jun7-au5,教典例句
潤喉,jun7-au5,詞彙分級
潤澤,lun7-tik8,詞彙分級
潤餅,jun7-piann2,教典例句
潤餅,jun7-piann2,詞彙分級
潤餅𩛩,jun7-piann2-kauh4,itaigi
潤餅𩛩,jun7-piann2-kauh4,教典例句
潤餅𩛩,jun7-piann2-kauh4,教典詞條
潤餅𩛩,jun7-piann2-kauh4,詞彙分級
潤餅𩛩,lun7-piann2-kauh4,教典詞條
潦,lo2,教典詞條
潦草,lo2-tsho2,教典例句
潦草,lo2-tsho2,教典詞條
潭,tham5,教典詞條
潭,tham5,詞彙分級
潭中,tham5-tiong1,詞彙分級
潭仔,tham5-a2,教典詞條
潭外,tham5-gua7,詞彙分級
潭水,tham5-tsui2,詞彙分級
潮,tiau1,教典詞條
潮,tiau5,教典詞條
潮州,tio5-tsiu1,詞彙分級
潮流,tiau5-liu5,教典詞條
潮流,tiau5-liu5,詞彙分級
潰,khui3,教典詞條
潰瘍,khui3-iong5,教典詞條
潲,siau5,itaigi
潲,siau5,教典例句
潲,siau5,教典詞條
潲,siau5,詞彙分級
潲子,siau5-tsi2,itaigi
潺,tshan1,教典詞條
澀,siap4,itaigi
澀,siap4,教典例句
澀,siap4,教典詞條
澀,siap4,詞彙分級
澀kinn7kuainn7,siap4-kinn7-kuainn7,詞彙分級
澀奅,siap4-phann7,itaigi
澀澀,siap4-siap4,教典例句
澀澀,siap4-siap4,詞彙分級
澀澀澀,siap4-siap4-siap4,詞彙分級
澄,ting5,教典詞條
澄,ting5,詞彙分級
澄波,ting5-pho1,itaigi
澄清,ting5-tshing1,教典例句
澄清,ting5-tshing1,教典詞條
澄清,ting5-tshing1,詞彙分級
澄清湖,ting5-tshing1-oo5,詞彙分級
澈,thiat4,教典詞條
澈底,thiat4-te2,教典詞條
澈底,thiat4-tue2,教典詞條
澈澈,theh4-theh4,itaigi
澍,tshu7,教典例句
澍,tshu7,教典詞條
澍,tshu7,詞彙分級
澎,phenn5,教典詞條
澎,phenn5,詞彙分級
澎湖,phenn5-oo5,詞彙分級
澎湖,phinn5-oo5,詞彙分級
澎湖人,phenn5-oo5-lang5,詞彙分級
澎湖人,phinn5-oo5-lang5,詞彙分級
澎湖縣,phinn5-oo5-kuan7,詞彙分級
澎湖菜瓜,phenn5-oo5-tshai3-kue1,教典詞條
澗水,kan3-sui2,詞彙分級
澡,tso2,教典詞條
澤,tik8,教典詞條
澤東,tik8-tong1,itaigi
澤民,tik8-bin5,itaigi
澤田,澤-田,詞彙分級
澤田慎,澤-田-慎,詞彙分級
澩,haunnh8,教典詞條
澩澩,haunnh8-haunnh8,教典詞條
澳,o3,教典詞條
澳,o3,詞彙分級
澳,u3,教典詞條
澳底,o3-te2,詞彙分級
澳洲,o3-tsiu1,詞彙分級
澳洲版,o3-tsiu1-pan2,詞彙分級
澳門,o3-mng5,itaigi
澹,tam5,itaigi
澹,tam5,教典例句
澹,tam5,教典詞條
澹,tam5,詞彙分級
澹去,tam5-khi3,詞彙分級
澹地,tam5-te7,itaigi
澹水地,tam5-tsui2-te7,教典詞條
澹水地,tam5-tsui2-tue7,教典詞條
澹溼,tam5-sip4,詞彙分級
澹漉漉,tam5-lok4-lok4,教典例句
澹漉漉,tam5-lok4-lok4,教典詞條
澹漉漉,tam5-lok4-lok4,詞彙分級
澹澹,tam5-tam5,twisas-語料庫系統
澹澹,tam5-tam5,教典例句
澹澹,tam5-tam5,詞彙分級
澹的,tam5-e5,詞彙分級
澹糊糊,tam5-koo5-koo5,教典例句
澹糊糊,tam5-koo5-koo5,教典詞條
澹糊糊,tam5-koo5-koo5,詞彙分級
激,kik4,itaigi
激,kik4,twisas-語料庫系統
激,kik4,教典例句
激,kik4,教典詞條
激,kik4,詞彙分級
激五仁,kik4-ngoo2-jin5,教典例句
激五仁,kik4-ngoo2-jin5,教典詞條
激五仁,kik4-ngoo2-lin5,教典詞條
激凍鳥,kik4-tang3-tsiau2,itaigi
激出來的,kik4-tshut4-lai5-e5,twisas-語料庫系統
激力,kik4-lat8,教典例句
激力,kik4-lat8,教典詞條
激動,kik4-tong7,教典詞條
激動,kik4-tong7,詞彙分級
激動,kik8-tong7,教典詞條
激勵,kik4-le7,教典詞條
激化,kik4-hua3,詞彙分級
激外外,kik4-gua7-gua7,教典例句
激外外,kik4-gua7-gua7,教典詞條
激將法,kik4-tsiong3-huat4,詞彙分級
激屎,kik4-sai2,教典例句
激屎,kik4-sai2,教典詞條
激心,kik4-sim1,教典例句
激心,kik4-sim1,教典詞條
激怐怐,kik4-khoo3-khoo3,教典例句
激怐怐,kik4-khoo3-khoo3,教典詞條
激怐怐,kik4-khoo3-khoo3,詞彙分級
激恬恬,kik4-tiam7-tiam7,itaigi
激恬恬,kik4-tiam7-tiam7,twisas-語料庫系統
激情,kik4-tsing5,教典詞條
激我,kik4-gua2,twisas-語料庫系統
激櫓,kik4-loo2,itaigi
激死,kik4-si2,itaigi
激氣,kik4-khi3,itaigi
激氣,kik4-khi3,twisas-語料庫系統
激氣,kik4-khi3,教典例句
激氣,kik4-khi3,教典詞條
激氣,kik4-khui3,教典例句
激氣,kik4-khui3,教典詞條
激氣啦,kik4-khi3-lah4,twisas-語料庫系統
激氣諾,kik4-khi3-hioh4,twisas-語料庫系統
激派頭,kik4-phai3-thau5,教典例句
激派頭,kik4-phai3-thau5,教典詞條
激烈,kik4-liat8,twisas-語料庫系統
激烈,kik4-liat8,教典例句
激烈,kik4-liat8,教典詞條
激烈,kik4-liat8,詞彙分級
激烈,kik8-liat8,教典詞條
激爛爛,kik4-nua7-nua7,itaigi
激發,kik4-huat4,詞彙分級
激的,kik4-e5,詞彙分級
激矣,kik4-ah4,教典例句
激空,kik4-khang1,教典例句
激空,kik4-khang1,教典詞條
激算,kik4-sng3,itaigi
激素,khik4-soo3,itaigi
激腦,kik4-lo2,教典例句
激腦,kik4-lo2,教典詞條
激血,kik4-huih4,詞彙分級
激酒,kik4-tsiu2,教典例句
激酒,kik4-tsiu2,教典詞條
激面腔,kik4-bin7-tshiunn1,itaigi
激面腔,kik4-bin7-tshiunn1,教典例句
激面腔,kik4-bin7-tshiunn1,教典詞條
激面腔,kik4-bin7-tshiunn1,詞彙分級
激骨,kik4-kut4,教典例句
激骨,kik4-kut4,教典詞條
激骨仔話,kik4-kut4-a2-ue7,教典例句
濁,lo5,itaigi
濁,lo5,教典例句
濁,lo5,教典詞條
濁,lo5,詞彙分級
濁,tak8,教典詞條
濁,tok8,教典詞條
濁水,lo5-tsui2,itaigi
濁水,lo5-tsui2,詞彙分級
濁水溪,lo5-tsui2-khe1,itaigi
濁水溪,lo5-tsui2-khe1,詞彙分級
濁水溪,lo5-tsui2-khue1,itaigi
濁水米,lo5-tsui2-bi2,詞彙分級
濁濁,lo5-lo5,詞彙分級
濁濁濁,lo5-lo5-lo5,詞彙分級
濁音,lo5-im1,itaigi
濃,long5,教典詞條
濃,long5,詞彙分級
濃度,long5-too7,教典詞條
濃縮,long5-sok4,教典詞條
濃縮,long5-sok4,詞彙分級
濃縮咖啡,long5-sok4-ka1-pi1,itaigi
濃陰裡,long5-im1-li2,詞彙分級
濆,bun3,教典例句
濆,bun3,教典詞條
濆,bun3,詞彙分級
濆出來的,bun3-tshut4-lai5-e5,詞彙分級
濆涵,bun3-am5,詞彙分級
濕潤地,sip4-jun7-te7,itaigi
濟,tse3,教典例句
濟,tse3,教典詞條
濟,tse3,詞彙分級
濟,tse5,itaigi
濟,tse7,itaigi
濟,tse7,twisas-語料庫系統
濟,tse7,教典例句
濟,tse7,教典詞條
濟,tse7,詞彙分級
濟,tsue7,itaigi
濟,tsue7,twisas-語料庫系統
濟,tsue7,教典詞條
濟,tsue7,詞彙分級
濟一點仔,tse7-tsit8-tiam2-a2,教典例句
濟世救人,tse3-se3-kiu3-lin5,詞彙分級
濟乎,tse7-honnh4,twisas-語料庫系統
濟乎,tsue7-honnh4,twisas-語料庫系統
濟人病房,tse7-lang5-penn7-pang5,itaigi
濟呢,tse7-neh4,twisas-語料庫系統
濟呢,tsue7-neh4,twisas-語料庫系統
濟咧,tse7-leh4,twisas-語料庫系統
濟咧,tse7-leh4,教典例句
濟咧,tsue7-leh4,twisas-語料庫系統
濟咧喔,tse7-leh4-ooh4,twisas-語料庫系統
濟啊,tse7-ah4,twisas-語料庫系統
濟啊,tsue7-ah4,twisas-語料庫系統
濟啊喂,tse7-ah4-eh4,twisas-語料庫系統
濟啦,tse7-lah4,twisas-語料庫系統
濟啦,tsue7-lah4,twisas-語料庫系統
濟啦乎,tse7-lah4-honnh4,twisas-語料庫系統
濟喔,tse7-ooh4,twisas-語料庫系統
濟少,tse7-tsio2,教典例句
濟少,tse7-tsio2,教典詞條
濟少,tse7-tsio2,詞彙分級
濟少,tsue7-tsio2,教典詞條
濟濟,tse7-tse7,教典例句
濟濟,tse7-tse7,教典詞條
濟濟,tse7-tse7,詞彙分級
濟濟,tsue7-tsue7,教典詞條
濟濟,tsue7-tsue7,詞彙分級
濟濟濟,tse7-tse7-tse7,詞彙分級
濟的,tse7-e5,twisas-語料庫系統
濟的,tse7-e5,教典例句
濟的,tse7-e5,詞彙分級
濟的呢,tse7-e5-neh4,twisas-語料庫系統
濟的咧,tse7-e5-leh4,twisas-語料庫系統
濟的啊,tsue7-e5-ah4,twisas-語料庫系統
濟矣,tse7-ah4,twisas-語料庫系統
濟矣,tse7-ah4,教典例句
濟矣,tse7-ah4,詞彙分級
濟矣,tsue7-ah4,twisas-語料庫系統
濟矣啦,tse7-ah4-lah4,twisas-語料庫系統
濟矣啦,tsue7-ah4-lah4,twisas-語料庫系統
濟話,tse7-ue7,教典詞條
濟話,tsue7-ue7,教典詞條
濟陽堂,tse3-iong5-tong5,詞彙分級
濟雲,tse7-hun5,itaigi
濤,to5,教典詞條
濤,to5,詞彙分級
濤,too5,教典詞條
濫,lam7,twisas-語料庫系統
濫,lam7,教典例句
濫,lam7,教典詞條
濫,lam7,詞彙分級
濫使,lam7-su2,教典例句
濫使,lam7-su2,教典詞條
濫濫,lam7-lam7,twisas-語料庫系統
濫糝,lam7-sam2,教典例句
濫糝,lam7-sam2,教典詞條
濱,pin1,教典詞條
濱海,pin1-hai2,詞彙分級
濱海公路,pin1-hai2-kong1-loo7,詞彙分級
濱海快速道路,pin1-hai2-khuai3-sok4-to7-loo7,詞彙分級
濺,tsuann7,itaigi
濺,tsuann7,教典例句
濺,tsuann7,教典詞條
濺,tsuann7,詞彙分級
濾,li7,教典詞條
濾,li7,詞彙分級
濾,lu7,詞彙分級
濾紙,li7-tsua2,教典例句
瀆犯,tok8-huan7,詞彙分級
瀉,sia3,教典例句
瀉,sia3,教典詞條
瀉藥,sia3-ioh8,教典例句
瀉藥,sia3-ioh8,教典詞條
瀉藥仔,sia3-ioh8-a2,教典例句
瀉藥仔,sia3-ioh8-a2,教典詞條
瀑塌,pok8-lap4,itaigi
瀑布,phok8-poo3,詞彙分級
瀑布,pok8-poo3,itaigi
瀑庫,pok8-khoo3,itaigi
瀕臨,pin1-lim5,詞彙分級
瀘,lu7,教典詞條
瀚,han7,教典詞條
瀝金,lik8-kim1,itaigi
瀟,siau1,教典詞條
瀟灑,siau1-sa2,詞彙分級
瀨,lua7,教典詞條
瀰,bi5,itaigi
瀳,tshinn5,教典例句
瀳,tshinn5,教典詞條
瀳,tshinn5,詞彙分級
瀳水,tshinn5-tsui2,itaigi
瀳風,tshinn5-hong1,itaigi
瀾,lan5,教典詞條
瀾,nua7,itaigi
瀾,nua7,twisas-語料庫系統
瀾,nua7,教典例句
瀾,nua7,教典詞條
瀾,nua7,詞彙分級
瀾垂,nua7-se5,教典詞條
瀾鬚,nua7-tshiu1,教典例句
灇,tsang5,教典例句
